
2022/10/15 (15:52:22) | ===> btop++ v.1.2.12
2022/10/15 (15:52:22) | INFO: Logger set to INFO
2022/10/15 (15:52:23) | INFO: Logger set to DEBUG
2022/10/15 (15:52:23) | INFO: Logger set to INFO
2022/10/15 (15:52:24) | INFO: Logger set to DEBUG
2022/10/15 (15:52:25) | INFO: Logger set to INFO
2022/10/15 (15:52:25) | INFO: Logger set to INFO

2023/01/04 (11:33:02) | ===> btop++ v.1.2.13
2023/01/04 (11:33:02) | INFO: Logger set to INFO
2023/01/04 (11:33:02) | INFO: Logger set to DEBUG
2023/01/04 (11:33:03) | INFO: Logger set to INFO
2023/01/04 (11:33:03) | INFO: Logger set to INFO
2023/01/04 (11:33:04) | INFO: Logger set to DEBUG
